,precision,recall,f1-score,support
Angry,0.43478260869565216,0.35398230088495575,0.3902439024390244,113.0
Confused,0.5483870967741935,0.38202247191011235,0.4503311258278146,89.0
Excited,0.2777777777777778,0.4411764705882353,0.3409090909090909,34.0
Fear,0.2553191489361702,0.34285714285714286,0.2926829268292683,35.0
Happiness,0.25882352941176473,0.6285714285714286,0.36666666666666664,35.0
Sadness,0.25,0.3939393939393939,0.3058823529411765,33.0
Surprised,0.6065573770491803,0.33035714285714285,0.4277456647398844,112.0
Thoughtful,0.6923076923076923,0.6792452830188679,0.6857142857142857,106.0
accuracy,0.4398563734290844,0.4398563734290844,0.4398563734290844,0.4398563734290844
macro avg,0.4154944038690539,0.44401895432841,0.40752200200840144,557.0
weighted avg,0.4936182516988468,0.4398563734290844,0.4479937565910094,557.0
